Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-01-28,1.75,1.75,1.75,1.75
2016-01-29,1.75,1.75,1.75,1.75
2016-02-01,1.75,1.75,1.75,1.75
2016-02-02,1.75,1.75,1.75,1.75
2016-02-03,1.75,1.75,1.75,1.75
2016-02-04,1.75,1.75,1.75,1.75
2016-02-05,1.75,1.75,1.75,1.75
2016-02-08,1.75,1.75,1.75,1.75
2016-02-09,1.75,1.75,1.75,1.75
2016-02-10,1.75,1.75,1.75,1.75
2016-02-11,1.74,1.74,1.74,1.74
2016-02-12,1.74,1.74,1.74,1.74
2016-02-15,1.74,1.74,1.74,1.74
2016-02-16,1.74,1.74,1.74,1.74
2016-02-17,1.74,1.74,1.74,1.74
2016-02-18,1.74,1.74,1.74,1.74
2016-02-19,1.74,1.74,1.74,1.74
2016-02-22,1.74,1.74,1.74,1.74
2016-02-23,1.74,1.74,1.74,1.74
2016-02-24,1.74,1.74,1.74,1.74
2016-02-25,1.74,1.74,1.74,1.74
2016-02-26,1.74,1.74,1.74,1.74
2016-02-29,1.74,1.74,1.74,1.74
2016-03-01,1.74,1.74,1.74,1.74
2016-03-02,1.74,1.74,1.74,1.74
2016-03-03,1.74,1.74,1.74,1.74
2016-03-04,1.74,1.74,1.74,1.74
2016-03-07,1.74,1.74,1.74,1.74
2016-03-08,1.74,1.74,1.74,1.74
2016-03-09,1.74,1.74,1.74,1.74
2016-03-10,1.74,1.74,1.74,1.74
2016-03-11,1.74,1.74,1.74,1.74
2016-03-14,1.74,1.74,1.74,1.74
2016-03-15,1.74,1.74,1.74,1.74
2016-03-16,1.74,1.74,1.74,1.74
2016-03-17,1.74,1.74,1.74,1.74
2016-03-18,1.74,1.74,1.74,1.74
2016-03-21,1.74,1.74,1.74,1.74
2016-03-22,1.74,1.74,1.74,1.74
2016-03-23,1.74,1.74,1.74,1.74
2016-03-24,1.74,1.74,1.74,1.74
2016-03-25,1.74,1.74,1.74,1.74
2016-03-29,1.74,1.74,1.74,1.74
2016-03-30,1.74,1.74,1.74,1.74
2016-03-31,1.74,1.74,1.74,1.74
2016-04-01,1.74,1.74,1.74,1.74
2016-04-04,1.74,1.74,1.74,1.74
2016-04-05,1.74,1.74,1.74,1.74
2016-04-06,1.74,1.74,1.74,1.74
2016-04-07,1.74,1.74,1.74,1.74
2016-04-08,1.74,1.74,1.74,1.74
2016-04-11,1.74,1.74,1.74,1.74
2016-04-12,1.74,1.74,1.74,1.74
2016-04-13,1.74,1.74,1.74,1.74
2016-04-14,1.74,1.74,1.74,1.74
2016-04-15,1.74,1.74,1.74,1.74
2016-04-18,1.74,1.74,1.74,1.74
2016-04-19,1.74,1.74,1.74,1.74
2016-04-20,1.74,1.74,1.74,1.74
2016-04-21,1.74,1.74,1.74,1.74
2016-04-22,1.74,1.74,1.74,1.74
2016-04-25,1.74,1.74,1.74,1.74
2016-04-26,1.74,1.74,1.74,1.74
2016-04-27,1.74,1.74,1.74,1.74
2016-04-28,1.74,1.74,1.74,1.74
2016-04-29,1.74,1.74,1.74,1.74
2016-05-02,1.74,1.74,1.74,1.74
2016-05-04,1.74,1.74,1.74,1.74
2016-05-05,1.74,1.74,1.74,1.74
